Timestamp,Latitude,Longitude,Altitude
17:11:43  8224,18.6360315,73.8709911,618.0
17:11:43  8137,18.6360298,73.8709896,618.0
17:11:43  8334,18.636028,73.8709881,618.0
17:11:43  8280,18.6360261,73.8709868,618.0
17:11:43  7665,18.6360248,73.8709855,618.0
17:11:44  7874,18.6360233,73.8709838,618.0
17:11:44  8033,18.6360218,73.8709823,618.0
17:11:44  7302,18.6360205,73.8709811,618.0
17:11:44  7745,18.636019,73.8709796,618.0
17:11:44  7417,18.6360175,73.8709783,618.0
17:11:44  7367,18.6360161,73.8709768,618.0
17:11:44  7780,18.6360145,73.8709755,618.0
17:11:44  7832,18.636013,73.8709741,618.0
17:11:44  7246,18.6360115,73.8709731,618.0
17:11:44  7128,18.63601,73.870972,618.0
17:11:45  7689,18.6360085,73.8709708,618.0
17:11:45  7908,18.6360068,73.8709695,618.0
17:11:45  7848,18.6360053,73.8709685,618.0
17:11:45  8389,18.6360033,73.8709671,618.0
17:11:45  8452,18.6360015,73.870966,618.0
17:11:45  8302,18.6359998,73.8709648,618.0
17:11:45  7978,18.6359981,73.8709636,618.0
17:11:45  7663,18.6359965,73.8709626,618.0
17:11:45  7928,18.6359946,73.8709616,618.0
17:11:45  7791,18.635993,73.8709608,618.0
17:11:46  8185,18.6359911,73.8709596,618.0
17:11:46  7724,18.6359895,73.8709586,618.0
17:11:46  7904,18.6359876,73.8709578,618.0
17:11:46  8978,18.6359855,73.8709566,618.0
17:11:46  8641,18.6359835,73.8709558,618.0
17:11:46  8830,18.6359815,73.8709548,618.0
17:11:46  9578,18.6359791,73.8709538,618.0
17:11:46  9823,18.6359768,73.8709528,618.0
17:11:46  10141,18.6359746,73.8709515,618.0
17:11:46  9980,18.6359723,73.8709506,618.0
17:11:47  10130,18.63597,73.8709495,618.0
17:11:47  10306,18.6359676,73.8709485,618.0
17:11:47  10317,18.6359653,73.8709471,618.0
17:11:47  10078,18.6359631,73.870946,618.0
17:11:47  10423,18.6359606,73.8709448,618.0
17:11:47  10674,18.6359583,73.8709435,618.0
